Disease,Consultation
Fungal infection,"['Visit a dermatology clinic', 'Consult a board-certified dermatologist', 'Schedule an appointment for a comprehensive skin evaluation']"
Allergy,"['Consult an allergist-immunologist', 'Schedule an allergen-specific IgE test', 'Visit a primary care physician for management']"
GERD,"['Consult a gastroenterologist', 'Schedule esophagogastroduodenoscopy (EGD)', 'Discuss dietary modifications with a registered dietitian']"
Chronic cholestasis,"['Visit a hepatologist', 'Schedule liver function panel', 'Consult a clinical nutritionist for hepatobiliary dietary guidance']"
Drug Reaction,"['Consult an allergist-immunologist', 'Visit the emergency department for severe reactions', 'Schedule follow-up with a primary care physician for management']"
Peptic ulcer disease,"['Consult a gastroenterologist', 'Schedule endoscopic evaluation', 'Discuss pharmacological management with a clinical pharmacist']"
AIDS,"['Consult an infectious disease specialist', 'Schedule regular CD4 count monitoring', 'Visit a multidisciplinary HIV care clinic']"
Diabetes,"['Consult an endocrinologist', 'Schedule regular HbA1c monitoring', 'Visit a certified diabetes educator for comprehensive management']"
Gastroenteritis,"['Consult a gastroenterologist if symptoms persist', 'Visit an urgent care facility for severe dehydration', 'Discuss rehydration strategies with a healthcare provider']"
Bronchial Asthma,"['Consult a pulmonologist', 'Schedule pulmonary function tests', 'Visit an allergist for environmental trigger assessment']"
Hypertension,"['Consult a cardiologist', 'Schedule a 24-hour ambulatory blood pressure monitoring', 'Visit a dietitian for hypertension management']"
Migraine,"['Consult a neurologist', 'Schedule a headache assessment and diary review', 'Discuss preventive pharmacotherapy with a headache specialist']"
Cervical spondylosis,"['Consult a spine specialist', 'Schedule physical therapy for cervical rehabilitation', 'Discuss pain management strategies with a pain management physician']"
Paralysis (brain hemorrhage),"['Consult a neurologist', 'Schedule comprehensive rehabilitation therapy', 'Discuss long-term care options with a neuro-rehabilitation specialist']"
Jaundice,"['Consult a hepatologist', 'Schedule a complete liver function test panel', 'Discuss potential treatment modalities with a gastroenterologist']"
Malaria,"['Consult a tropical medicine specialist', 'Schedule a rapid diagnostic test for malaria', 'Visit an infectious disease expert for treatment protocols']"
Chicken pox,"['Consult a pediatrician or family physician', 'Schedule vaccination if not previously administered', 'Discuss supportive care strategies']"
Dengue,"['Consult a primary care physician', 'Visit a hospital for severe symptoms', 'Discuss supportive management and hydration with a healthcare provider']"
Typhoid,"['Consult an infectious disease specialist', 'Schedule vaccination for prevention', 'Visit a travel medicine clinic for pre-travel advice']"
Hepatitis A,"['Consult a hepatologist', 'Schedule vaccination and serology for immunity', 'Discuss dietary management with a clinical nutritionist']"
Hepatitis B,"['Consult a hepatologist', 'Schedule regular viral load monitoring', 'Discuss antiviral treatment options with a specialist']"
Hepatitis C,"['Consult a hepatologist', 'Schedule hepatitis C viral load and genotype testing', 'Discuss treatment regimens with an infectious disease specialist']"
Hepatitis D,"['Consult a hepatologist', 'Schedule monitoring for liver function and viral load', 'Discuss treatment strategies with a specialist']"
Hepatitis E,"['Consult a hepatologist', 'Schedule follow-ups for liver function tests', 'Discuss nutritional support with a clinical nutritionist']"
Alcoholic hepatitis,"['Consult a gastroenterologist', 'Schedule counseling for alcohol use disorder', 'Discuss liver health management with a hepatologist']"
Tuberculosis,"['Consult a pulmonologist', 'Schedule a tuberculin skin test or IGRA', 'Visit an infectious disease specialist for treatment']"
Common Cold,"['Consult a primary care physician if severe', 'Schedule follow-up if symptoms persist', 'Discuss symptomatic management with a pharmacist']"
Pneumonia,"['Consult a pulmonologist', 'Schedule a chest radiograph', 'Visit the emergency department for severe respiratory symptoms']"
Dimorphic hemorrhoids (piles),"['Consult a gastroenterologist', 'Schedule a colonoscopy for evaluation', 'Discuss treatment options with a colorectal surgeon']"
Heart attack,"['Consult a cardiologist immediately', 'Schedule cardiac rehabilitation program', 'Discuss lifestyle modifications with a cardiovascular dietitian']"
Varicose veins,"['Consult a vascular surgeon', 'Schedule a venous duplex ultrasound', 'Discuss treatment options with a vascular specialist']"
Hypothyroidism,"['Consult an endocrinologist', 'Schedule regular thyroid function tests including TSH and free T4', 'Discuss medication adherence with a healthcare provider']"
Hyperthyroidism,"['Consult an endocrinologist', 'Schedule thyroid function tests including TSH and free T4', 'Discuss treatment modalities with a specialist']"
Hypoglycemia,"['Consult an endocrinologist', 'Schedule an oral glucose tolerance test', 'Discuss dietary strategies for glucose management with a nutritionist']"
Osteoarthritis,"['Consult a rheumatologist', 'Schedule physical therapy for joint rehabilitation', 'Discuss pain management strategies with a pain specialist']"
Arthritis,"['Consult a rheumatologist', 'Schedule regular assessments of joint function', 'Discuss pharmacologic and non-pharmacologic treatments with a specialist']"
(vertigo) Paroxysmal Positional Vertigo,"['Consult a neurologist', 'Schedule vestibular rehabilitation therapy', 'Discuss treatment options with an otolaryngologist']"
Acne,"['Consult a dermatologist', 'Schedule a comprehensive skin evaluation', 'Discuss treatment regimens with a skincare specialist']"
Urinary tract infection,"['Consult a urologist', 'Schedule a urinalysis and culture', 'Discuss preventive measures with a healthcare provider']"
Psoriasis,"['Consult a dermatologist', 'Schedule phototherapy sessions', 'Discuss systemic treatment options with a psoriasis specialist']"
Impetigo,"['Consult a dermatologist', 'Schedule a skin evaluation', 'Discuss topical and systemic treatment options with a primary care physician']"
